,score_NOX_SYSTEM,score_MITO_ROS,score_SOD_SYSTEM,score_CATALASE_PEROXISOME,score_GLUTATHIONE_SYSTEM,score_THIOREDOXIN_SYSTEM,score_PPP_MODULE,score_NADPH_DEHYDROGENASES,score_NRF2_TARGETS,score_FOXO_OXSTRESS,score_OXPHOS_MODULE,score_GLYCOLYSIS_MODULE
score_NOX_SYSTEM,1.0,0.23146245334543178,-0.07544161342505266,0.23386439919984925,0.061471302521267215,-0.0002760810283840497,0.5721309994723315,0.24970509663149007,0.3009531176653459,0.20662936208916838,0.21825939679265338,0.1949467959128402
score_MITO_ROS,0.23146245334543178,1.0,0.4709310735412638,0.8105973655891128,0.7590117624690637,0.8607356465164119,0.629192623740061,0.7425177974738839,0.6098149221484135,0.43839579980540355,0.9873814629256111,0.7338312295099696
score_SOD_SYSTEM,-0.07544161342505266,0.4709310735412638,1.0,0.41749063657601937,0.6454642193538548,0.62049497024217,0.43544560489689726,0.5142542630272384,0.5850268604827691,0.6421679053740179,0.4912031798528782,0.5240188305556017
score_CATALASE_PEROXISOME,0.23386439919984925,0.8105973655891128,0.41749063657601937,1.0,0.8001420707501179,0.7745740564255065,0.6915300656142457,0.8390928731333395,0.6965614969912401,0.5588031894934503,0.7718457264164109,0.5749987468654663
score_GLUTATHIONE_SYSTEM,0.061471302521267215,0.7590117624690637,0.6454642193538548,0.8001420707501179,1.0,0.8812901372672061,0.6716609907369124,0.7775515691636731,0.8475635463368675,0.5872613810548781,0.7486487956732478,0.623791401847338
score_THIOREDOXIN_SYSTEM,-0.0002760810283840497,0.8607356465164119,0.62049497024217,0.7745740564255065,0.8812901372672061,1.0,0.5861352099965231,0.7291538111709668,0.708093322384994,0.5021322773669974,0.8579663436836702,0.6872767702383279
score_PPP_MODULE,0.5721309994723315,0.629192623740061,0.43544560489689726,0.6915300656142457,0.6716609907369124,0.5861352099965231,1.0,0.6765561701582207,0.7525313961253361,0.5492845347099551,0.6174487721523639,0.6118480106480618
score_NADPH_DEHYDROGENASES,0.24970509663149007,0.7425177974738839,0.5142542630272384,0.8390928731333395,0.7775515691636731,0.7291538111709668,0.6765561701582207,1.0,0.7436967248001591,0.6054037709643415,0.7329575869678797,0.5990443600554721
score_NRF2_TARGETS,0.3009531176653459,0.6098149221484135,0.5850268604827691,0.6965614969912401,0.8475635463368675,0.708093322384994,0.7525313961253361,0.7436967248001591,1.0,0.6477417149941339,0.6054491638865386,0.6129361469021505
score_FOXO_OXSTRESS,0.20662936208916838,0.43839579980540355,0.6421679053740179,0.5588031894934503,0.5872613810548781,0.5021322773669974,0.5492845347099551,0.6054037709643415,0.6477417149941339,1.0,0.43726298683668907,0.48869301608000615
score_OXPHOS_MODULE,0.21825939679265338,0.9873814629256111,0.4912031798528782,0.7718457264164109,0.7486487956732478,0.8579663436836702,0.6174487721523639,0.7329575869678797,0.6054491638865386,0.43726298683668907,1.0,0.7555930109751975
score_GLYCOLYSIS_MODULE,0.1949467959128402,0.7338312295099696,0.5240188305556017,0.5749987468654663,0.623791401847338,0.6872767702383279,0.6118480106480618,0.5990443600554721,0.6129361469021505,0.48869301608000615,0.7555930109751975,1.0
